path,status,title,description,h1,canonical,noindex,textLength,clicks,discoveredVia
/centres/sewri,200,Jetking Sewri | Best Computer Training Institute,"Welcome to Jetking computer institute in Sewri. Advance your career with courses in cloud computing, cyber security, CCNA & Hardware technology.",Enquire Now,https://www.jetking.com/centres/sewri,false,3927,,sitemap
/centres/shivajinagar,200,Cloud Computing Courses & Training Institute in Shivajinagar,"Cloud Computing course in Shivajinagar - UG/Diploma program in Cloud AI & Cybersecurity with job placement, Learn AWS, Azure & more from Certified Professionals",Enquire Now,https://www.jetking.com/centres/shivajinagar,false,9207,,sitemap
/centres/south-extension,200,Best Cloud Computing Courses & Training Institute in SouthEx,"Cloud Computing course in SouthEx - UG/Diploma programs in Cloud AI & Cybersecurity with job placement, Learn AWS, Azure & more from Certified Professionals",Enquire Now,https://www.jetking.com/centres/south-extension,false,9847,,sitemap
/centres/swargate,200,Best Cloud Computing Courses & Training Institute in Pune,"Cloud Computing course in Pune - UG/Diploma programs in Cloud AI & Cybersecurity with job placement, Learn AWS, Azure & more from Certified Professionals",Enquire Now,https://www.jetking.com/centres/swargate,false,7506,,sitemap
/centres/thane,200,Best Cloud Computing Courses & Training Institute in Thane,"Cloud Computing course in Mumbai - UG/Diploma programs in Cloud AI & Cybersecurity with job placement, Learn AWS, Azure & more from Certified Professionals",Enquire Now,https://www.jetking.com/centres/thane,false,8678,,sitemap
/centres/vasai,200,"Jetking Vasai | Cloud Computing, CCNA,Cyber Security Courses","Welcome to Jetking IT training institute in Vasai Road. Accelerate your career with courses in cloud computing, cyber security, CCNA & IT IMS technology.",Enquire Now,https://www.jetking.com/centres/vasai,false,8712,,sitemap
/centres/vikaspuri,200,Cloud Computing Courses & Training Institute in Vikaspuri,"Cloud Computing course in Vikaspuri - UG/Diploma programs in Cloud AI & Cybersecurity with job placement, Learn AWS, Azure & more from Certified Professionals",Enquire Now,https://www.jetking.com/centres/vikaspuri,false,9591,,sitemap
/centres/wakad-chinchwad,200,Cloud Computing Courses & Training Institute in Chinchwad,"Cloud Computing courses in Pune, UG/Diploma in Cloud AI & Cybersecurity with 100% job placement, Learn CCNA, AWS, Azure, Linux & more in IT-IMS from Experts",Enquire Now,https://www.jetking.com/centres/wakad-chinchwad,false,8685,,sitemap
/courses/aws-solution-specialist,200,Best AWS Solution Architect Training and Courses in India,Master AWS Solutions Specialist with Jetking. Advance your career with expert-led training. Explore the latest AWS trends and become a certified specialist.,Enquire Now,,false,9299,,sitemap
/courses/diploma-cloud-computing-cyber-security,200,Best Cloud Computing Training Course and Certification,"Our cloud computing courses will help you to become a master in cloud. Build your skills in technologies such as Azure, AWS, Cybersecurity with 100% job guarant",Enquire Now,,false,10873,,sitemap
/courses/mbd,200,Masters in Blockchain Development (MBD) | Learn Blockchain,Learn Blockchain Technology online & work in the Top MNCs even if you are a non-techie in less than 25 Weeks. A great career in the hottest technology domain.,Enquire Now,,false,7573,,sitemap
/courses/mcts-windows-10,200,Microsoft Certified Windows 10 Courses and Training,"Sign up for our Windows 10 course, earn certification, elevate your IT career. Microsoft-approved training for IT/Desktop Support specialists. Enroll now!",Enquire Now,,false,7305,,sitemap
/courses/microsoft-server-technology-specialist-mcts,200,Microsoft Server Technology Specialist (MCTS) Certification,"Learn configuring, implementing, troubleshooting and debugging Microsoft Server technology. This certification empowers to effectively manage Microsoft servers",Enquire Now,,false,10103,,sitemap
/courses/red-hat-certification-rhcsa,200,Red Hat Linux Professional program Courses & Certification,"Learn Red Hat system administration with Jetking's Red Hat Linux Professional course. Covers installation, configuration, and administration.",Enquire Now,,false,8328,,sitemap
/diploma-in-cloud-computing-and-cyber-security,200,Jetking - Diploma in Cloud Computing & Cyber Security - Land,Jetking - Diploma in Cloud Computing & Cyber Security - Landing Page,Diploma In Cloud Computing &amp; Cyber Security,https://www.jetking.com/courses/diploma-cloud-computing-cyber-security,false,6083,,sitemap
/masters-in-blockchain-course-registration-page,200,Cloud Computing Courses | Cyber Security & Ethical Hacking,"Jetking is India’s foremost IT training institute. We offer courses in Cloud Computing, Cyber Security, Ethical Hacking, Gaming & Metaverse Design.",Register Now,,false,527,,sitemap
/masters-in-blockchain-development-course-brochure,200,Masters In Blockchain Development Course Brochure,Masters In Blockchain Development Course Brochure,Your so close to getting your brochure,,false,598,,sitemap
/sitemap-xml,200,Jetking - Sitemap - xml,Jetking - Sitemap - xml,,,false,5520,,sitemap
